date,commit,cpu,class,parameters,method,ratio
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,BatchEmbeddingBenchmarks,CorpusSize=1,UnitLoop,1.0
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,BatchEmbeddingBenchmarks,CorpusSize=1,EmbedBatch,1.03
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,BatchEmbeddingBenchmarks,CorpusSize=1,EmbedBatchBucketed,1.03
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,BatchEmbeddingBenchmarks,CorpusSize=8,UnitLoop,1.0
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,BatchEmbeddingBenchmarks,CorpusSize=8,EmbedBatch,0.67
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,BatchEmbeddingBenchmarks,CorpusSize=8,EmbedBatchBucketed,0.69
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,BatchEmbeddingBenchmarks,CorpusSize=32,UnitLoop,1.0
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,BatchEmbeddingBenchmarks,CorpusSize=32,EmbedBatch,0.64
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,BatchEmbeddingBenchmarks,CorpusSize=32,EmbedBatchBucketed,0.61
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,BatchEmbeddingBenchmarks,CorpusSize=128,UnitLoop,1.0
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,BatchEmbeddingBenchmarks,CorpusSize=128,EmbedBatch,0.64
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,BatchEmbeddingBenchmarks,CorpusSize=128,EmbedBatchBucketed,0.61
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,BpeBenchmarks,,Unigram,1.0
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,BpeBenchmarks,,Bpe,0.93
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,FuzzBenchmarks,,Ratio,1.0
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,FuzzBenchmarks,,PartialRatio,373.89
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,FuzzBenchmarks,,TokenSortRatio,8.31
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,FuzzBenchmarks,,TokenSetRatio,26.91
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,FuzzBenchmarks,,WRatio,36.25
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=8,Distance_Utf16,1.0
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=8,Distance_CodePoint,4.97
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=8,NormalizedSimilarity_Utf16,1.05
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=8,SubsequenceLength_Utf16,1.02
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=12,Distance_Utf16,1.0
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=12,Distance_CodePoint,5.17
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=12,NormalizedSimilarity_Utf16,1.0
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=12,SubsequenceLength_Utf16,0.98
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=16,Distance_Utf16,1.0
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=16,Distance_CodePoint,5.4
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=16,NormalizedSimilarity_Utf16,1.04
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=16,SubsequenceLength_Utf16,1.02
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=20,Distance_Utf16,1.0
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=20,Distance_CodePoint,2.2
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=20,NormalizedSimilarity_Utf16,1.0
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=20,SubsequenceLength_Utf16,1.07
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=24,Distance_Utf16,1.0
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=24,Distance_CodePoint,7.1
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=24,NormalizedSimilarity_Utf16,1.08
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=24,SubsequenceLength_Utf16,1.0
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=32,Distance_Utf16,1.0
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=32,Distance_CodePoint,9.2
2026-08-19,2575ca720e04f12ed02151cbec70e0afe07550f6,AMD EPYC 7763,IndelBenchmarks,Length=32,NormalizedSimilarity_Utf16,0.98
